"xxx"	"xxx"	"xxx"	"Embedded Software Engineer at LGS Innovations"	"Greater New York City Area"	500	"Columbia University in the City of New York"	2013	"2015"	"   Electrical Engineering"	"   Master of Science (M.S.)"	"University of California, Los Angeles"	2004	2007	"   Electrical Engineering"	"   Bachelor of Science (B.S.)"	""	NA	NA	""	""	"Columbia University in the City of New York"	2013.9	"2015.1"	"   Graduate Student Research Assistant"	"   New York, NY"	"Qualcomm"	2014.6	"2014.8"	"   Software Test Engineer Intern"	"   Raleigh-Durham, North Carolina Area"	"LGS Innovations"	2015.1	"present"	"   Embedded Software Engineer"	"   Florham Park, New Jersey"	NA
"xxx"	"xxx"	"xxx"	"Ph.D. Candidate at Columbia University"	"New York, New York"	500	"Columbia University in the City of New York"	2016	"2019"	"   Electrical, Electronics and Communications Engineering"	"   Doctor of Philosophy (Ph.D.)"	"Columbia University in the City of New York"	2014	2016	"   Electrical Engineering"	"   Masterâs Degree"	"Sharif University of Technology"	2009	2014	"   Electrical, Electronics and Communications Engineering"	"   Bachelor of Science (BS)"	"Oath"	2017.6	"2017.8"	"   Researcher"	"   New York, New York"	""	NA	""	""	""	""	NA	""	""	""	NA
"xxx"	"xxx"	"xxx"	"Graduate Research Student at University of British Columbia Electrical and Computer Engineering"	"Kelowna, British Columbia, Canada"	229	"University of British Columbia Electrical and Computer Engineering"	2017	"2019"	"   Power systems"	"   Master of Applied Science in Electrical Engineering"	"University of Engineering and Technology, Taxila"	2004	2007	"   Master of Science Electrical Engineering"	"   Master&#39;s Degree"	"University of Engineering and Technology, Lahore"	1995	2000	"   Electronics &amp; Communication"	"   Bachelor of Science in Electrical Engineering"	"Government of Pakistan"	2008.7	"2013.12"	"   Senior Electrical Engineer"	"   Ministry of Defense ,Islamabad, Pakistan"	"Saudi Electricity Company"	2014.1	"2017.11"	"   Project Engineer (SCADA /DMS)"	"   Riyadh"	"University of British Columbia Electrical and Computer Engineering"	2017.12	"present"	"   Graduate Research Student"	"   Kelowna , British Columbia , Canada"	NA
"xxx"	"xxx"	"xxx"	"Master of Engineering - Electrical and Computer Engineering at University of British Columbia"	"Richmond, British Columbia, Canada"	417	"University of British Columbia Electrical and Computer Engineering"	2017	"2019"	"   Electrical Engineering"	"   Master of Engineering - MEng"	"British Columbia Institute of Technology"	2016	2016	"   Electrical"	"   Basic Motor Controls"	"The University of British Columbia / UBC"	2006	2011	"   Mechanical Engineering (Mechatronics) / Minor in Commerce"	"   Bachelorâs Degree"	"BOSCH"	2010.1	"2010.8"	"   Student MEMS Reliability Researcher"	""	"Brighton Engineering Solutions"	2011.11	"2012.12"	"   Mechanical Engineering Specialist"	""	"ANDRITZ AUTOMATION"	2013.1	"2017.8"	"   Project Engineer"	""	NA
"xxx"	"xxx"	"xxx"	"Graduate Teaching Assistant at University of British Columbia Electrical and Computer Engineering"	"Vancouver, British Columbia, Canada"	500	"University of British Columbia Electrical and Computer Engineering"	2017	"2019"	"   Computer Engineering"	"   Master&#39;s degree"	"Indian Institute of Technology (Banaras Hindu University), Varanasi"	2011	2015	"   Electrical and Electronics Engineering"	"   Bachelor of Technology (B.Tech.)"	"Mahendra Muni Saraswati Shishu Vidhya Mandir,Madhupur"	2009	2011	"   Mathematics and Science"	"   Intermediate/+2"	"NXP Semiconductors"	2016.8	"2017.7"	"   Design Verification Engineer"	"   Noida Area, India"	"University of British Columbia Electrical and Computer Engineering"	2017.9	"present"	"   Graduate Research Assistant"	"   Vancouver, Canada Area"	"University of British Columbia Electrical and Computer Engineering"	2017.9	"present"	"   Graduate Teaching Assistant"	"   Vancouver, Canada Area"	NA
"xxx"	"xxx"	"xxx"	"Graduate Researcher at the University of British Columbia"	"Vancouver, British Columbia, Canada"	433	"The University of British Columbia"	2014	"2016"	"   Electrical and Computer Engineering"	"   Master of Science (M.Sc.)"	"SRM University"	2010	2014	"   Electrical and Electronics Engineering"	"   Bachelor of Technology (B.Tech.)"	"Padma Seshadri Bala Bhavan School"	1996	2010	""	"   Higher Secondary School Certificate"	"The University of British Columbia"	2015.9	"2015.12"	"   Graduate Teaching Assistant- CPSC 344/544 Introduction to Human-Computer Interaction (HCI)"	"   Vancouver, Canada Area"	"Electrical and Computer Engineering Department, UBC"	2016.2	"present"	"   Student Representative, ECE Health and Safety Committee"	"   Vancouver, Canada Area"	"The University of British Columbia"	2016.5	"present"	"   Academic Mentor - International Graduate Study Preparation Program (IGSPP)"	"   Vancouver, Canada Area"	NA
"xxx"	"xxx"	"xxx"	"Electrical and Computer Engineering PhD candidate at UBC"	"Vancouver, British Columbia, Canada"	281	"University of British Columbia Electrical and Computer Engineering"	2013	"2018"	"   Electrical; Biomedical Engineering"	"   Doctor of Philosophy (PhD)"	"Southeast University"	2010	2013	"   Biomedical Engineering"	"   Master of Applied Science "	"UniversitÃ© de Rennes I"	2010	2013	"   Signal-Image-Embedded Systems-Automatic"	"   International Master of Science in Electronics and Telecommunications"	"Biomedical Signal and Image Computing Laboratory, ECE department, UBC"	2013.9	"present"	"   PhD student in Electrical and Computer Engineering"	"   Vancouver, Canada Area"	"Corbel 3D"	2014.11	"2015.6"	"   Intern in the Medical Modelling Division"	"   4075 McConnell Dr, Burnaby, BC V5A 3A7"	"UBC"	2015.1	"2017.5"	"   Teaching Assistant"	"   Vancouver, Canada Area"	NA
"xxx"	"xxx"	"xxx"	"Lvl Kluge Pythonista"	"Vancouver, British Columbia, Canada"	302	"University of British Columbia Electrical and Computer Engineering"	2017	"2017"	"   Computer Engineering"	"   Master of Applied Science"	"The University of British Columbia"	2007	2013	"   Physics and Computer Science"	"   Bachelor of Science (B.Sc.)"	"Kodaikanal International School"	2000	2007	""	""	"Autobase"	2013.5	"2013.9"	"   Field Engineer"	"   Seongnam, Gyeonggi-do, Korea"	"VanWest College"	2013.9	"2015.12"	"   Junior Developer / IT Administrator"	"   Vancouver, Canada Area"	"The University of British Columbia"	2017.9	"present"	"   Research And Teaching Assistant"	"   Vancouver, Canada Area"	NA
"xxx"	"xxx"	"xxx"	"Electrical Engineer - Actively looking for new opportunities"	"Canada"	279	"The University of British Columbia"	2010	"2011"	"   Electrical Engineering"	"   Master of Applied Science"	""	NA	NA	""	""	""	NA	NA	""	""	"Hatch"	2012.3	"2014.2"	"   Electrical EIT"	"   Ontario, Canada"	"Tetra Tech"	2014.2	"2014.11"	"   Electrical Engineer - II, Intermediate level"	"   Mississauga, ON"	"Independent Electricity System Operator (IESO)"	2015	"present"	"   Technical Officer"	"   Mississauga"	NA
"xxx"	"xxx"	"xxx"	"M.A.Sc Research Direction: Mobile App (Energy &amp; Privacy)"	"New Westminster, British Columbia, Canada"	79	"University of British Columbia Electrical and Computer Engineering"	2017	"2019"	"   Computer Engineering"	"   Master&#39;s degree"	"Simon Fraser University"	2011	2016	"   Electrical and Electronics Engineering"	"   Bachelor of Applied Science (BASc)"	""	NA	NA	""	""	"Sierra Wireless"	2014.1	"2014.8"	"   Hardware Co-op"	"   Richmond, BC"	"PMC-Sierra is now Microsemi"	2015.5	"2015.8"	"   ICT Product Engineer"	"   Burnaby"	"University of British Columbia Electrical and Computer Engineering"	2017.1	"present"	"   Master of Applied Science"	"   Vancouver, Canada Area"	NA
"xxx"	"xxx"	"xxx"	"Graduate Teaching Assistant at University of British Columbia Electrical and Computer Engineering"	"Vancouver, British Columbia, Canada"	71	"University of British Columbia Electrical and Computer Engineering"	2017	"2018"	"   Computer System and Software Engineering"	"   Master of Engineering - MEng"	"The University of British Columbia"	2014	2016	"   Condensed Matter and Materials Physics"	"   Master of Science (MSc)"	"Shandong University"	2010	2014	"   Engineering Physics/Applied Physics"	"   Bachelor of Applied Science (B.A.Sc.)"	"The University of British Columbia"	2014.11	"2016.12"	"   Graduate Research Assistant"	"   Superconductivity Group, UBC, Vancouver"	"The University of British Columbia"	2014.9	"2016.12"	"   Graduate Teaching Assistant"	"   Department of Physics &amp; Astronomy, UBC, Vancouver"	"University of British Columbia Electrical and Computer Engineering"	2017.9	"present"	"   Graduate Teaching Assistant"	"   Vancouver, Canada Area"	NA
"xxx"	"xxx"	"xxx"	"Solar Photovoltaic Engineer &amp; Researcher"	"Vancouver, British Columbia, Canada"	434	"University of British Columbia Electrical and Computer Engineering"	2014	"2018"	"   Electrical Engineering"	"   Master&#39;s of Applied Science"	"Okanagan University College"	2003	2004	"   Physics"	"   Pre-Masters Coursework"	"The University of British Columbia"	1999	2003	"   Integrated Engineering"	"   Bachelor of Applied Science (BASc)"	"The University of British Columbia"	2014.9	"present"	"   Masters Candidate &amp; Research Engineer"	"   Vancouver, Canada Area"	"SKYTRAC Systems Ltd."	2016.9	"2016.12"	"   Contract Test Engineer"	"   Kelowna, BC"	"Primary Engineering and Construction Corporation"	2017.11	"present"	"   Senior Solar Contract Engineer"	"   Kelowna, BC"	NA
"xxx"	"xxx"	"xxx"	"Manager, Process Control at Andritz Automation"	"Vancouver, Canada Area"	324	"The University of British Columbia"	2003	"2004"	"   Electromechanical Engineering"	"   Master of Engineering (M.Eng.)"	"The University of British Columbia"	1999	2003	"   Mechanical Engineering"	"   Bachelor of Applied Science (B.A.Sc.)"	""	NA	NA	""	""	"ANDRITZ AUTOMATION Ltd."	2005.8	"2011.7"	"   Project Engineer"	"   Richmond, British Columbia"	"ANDRITZ AUTOMATION Ltd."	2011.7	"present"	"   Manager - Process Control"	"   Richmond, BC"	""	NA	""	""	""	NA
"xxx"	"xxx"	"xxx"	"Deputy Director, Energy &amp; Water Research Institute at KACST"	"Saudi Arabia"	259	"The University of British Columbia"	2012	"2016"	"   Electrical and Computer Engineering"	"   Doctor of Philosophy (PhD)"	"The University of British Columbia"	2008	2010	"   Electrical Engineering"	"   Master"	"King Fahd University of Petroleum &amp; Minerals"	2000	2004	"   Electrical Engineering"	"   Bachelor"	"KACST"	2016.12	"present"	"   Project Lead"	""	"KACST"	2017.1	"present"	"   Research Assistant Professor"	""	"KACST"	2018.1	"present"	"   Deputy Director, Energy &amp; Water Research Institute"	"   Riyadh, Riyadh Region, Saudi Arabia"	NA
"xxx"	"xxx"	"xxx"	"Research Assistant Intern at DevOps team of Scotiabank&#39;s Digital Factory"	"Vancouver, British Columbia, Canada"	73	"The University of British Columbia"	2015	"2017"	"   Electrical and Computer Engineering"	"   Masterâs Degree"	"University of Electronic Science and Technology"	2011	2015	"   Computer and Information Systems Security/Information Assurance"	"   Bachelorâs Degree"	""	NA	NA	""	""	"Two Tall Totems"	2016.6	"2016.7"	"   Intern"	""	"University of British Columbia Electrical and Computer Engineering"	2016.9	"2016.12"	"   Teaching Assistant"	"   University of British Columbia"	"Scotiabank"	2017.9	"2017.12"	"   Research Assistant Intern"	"   Toronto, Ontario, Canada"	NA
"xxx"	"xxx"	"xxx"	"Researcher - Economic and Power System Modeling"	"Vancouver, British Columbia, Canada"	339	"The University of British Columbia"	2015	"2017"	"   Electrical and Computer Engineering"	"   Master of Applied Science"	"British Columbia Institute of Technology"	2012	2013	"   AutoCAD I &amp; II"	"   Certificate"	"The University of British Columbia"	2012	2015	"   Electrical Engineeering"	"   Bachelor of Applied Science (B.A.Sc.)"	"Wismer Electrical Engineering Ltd."	2012.6	"2012.9"	"   Internship"	""	"The University of British Columbia"	2015.9	"present"	"   Master of Applied Science: Electrical and Computer Engineering"	"   Vancouver, Canada Area"	"University of British Columbia Electrical and Computer Engineering"	2017.1	"present"	"   Teaching Assistant"	"   Vancouver, Canada Area"	NA
"xxx"	"xxx"	"xxx"	"Electrical Engineering Graduate from UBC"	"Vancouver, British Columbia, Canada"	88	"The University of British Columbia"	2012	"2017"	"   Electrical, Electronics and Communications Engineering"	""	""	NA	NA	""	""	""	NA	NA	""	""	"Self-employed"	2017.1	"present"	"   Freelance Web Developer"	""	"Neptune Equipment Corporation"	2017.7	"2017.9"	"   Technical Liaison Intern"	"   Vancouver, Canada Area"	""	NA	""	""	""	NA
"xxx"	"xxx"	"xxx"	"Design Implementation Engineer, Microsemi"	"Vancouver, British Columbia, Canada"	308	"University of British Columbia Electrical and Computer Engineering"	2014	"2017"	"   Thesis: A fully integrated Avalanche Photodiode based Optoelectronic Receiver"	"   Masterâs Degree"	"National Institute of Technology Karnataka"	2010	2014	"   Bachelor in Electronics and Communication Engineering"	"   Bachelorâs Degree"	"Deeksha Center For Learning Pre-University College"	2008	2010	"   Pre-University Studies with focus on Computer Science"	"   High School"	"The University of British Columbia"	2014.9	"2017.8"	"   Research Assistant"	"   Vancouver, Canada Area"	"The University of British Columbia"	2014.9	"2016.5"	"   Teaching Assistant"	"   Vancouver, Canada Area"	"Microsemi Corporation"	2016.9	"present"	"   Design Implementation Engineer "	"   Vancouver, Canada Area"	NA
"xxx"	"xxx"	"xxx"	"Postdoctoral Fellows at McGill University "	"Montreal, Quebec, Canada"	155	"University of British Columbia Electrical and Computer Engineering"	2013	"2016"	"   Microsystem and Nanophotonics "	"   Doctor of Philosophy (PhD)"	"University of British Columbia Electrical and Computer Engineering"	2011	2013	"   Microsystem and Nanotechnology"	"   Master of Applied Science"	"Shenzhen University"	2007	2011	"   Optoelectronic Engineering"	"   Bachelor&#39;s degree"	"University of British Columbia Electrical and Computer Engineering"	2013.9	"2013.12"	"   Teaching Assistant"	"   Vancouver, Canada Area"	"RANOVUS Inc."	2014.7	"2014.11"	"   Internship"	""	"McGill University"	2016.7	"present"	"   Postdoctoral Fellow"	"   Montreal, Canada Area"	NA
"xxx"	"xxx"	"xxx"	"Research Assistant at the University of British Columbia"	"Vancouver, British Columbia, Canada"	80	"The University of British Columbia"	2014	"2017"	"   Electrical and Computer Engineering"	"   Masterâs Degree"	"Technical University Munich"	2012	2012	"   Information Technology"	""	"Zhejiang University"	2010	2014	"   Information Science and Electrical Engineering (ISEE)"	"   Bachelorâs Degree"	"The University of British Columbia"	2015.4	"2015.12"	"   Research Assistant"	"   Vancouver, Canada Area"	"Chinese Students and Scholars Association of UBC"	2016.3	"2017.3"	"   VP Academic"	"   Vancouver, Canada Area"	"University of British Columbia Electrical and Computer Engineering"	2017.9	"present"	"   Research Assistant"	"   Vancouver, Canada Area"	NA
"xxx"	"xxx"	"xxx"	"Project Design Engineer at Black &amp; Veatch"	"Kansas City, Missouri Area"	304	"University of Missouri-Columbia"	1966	"1970"	"   Electrical Engineering"	"   Bachelor of Science (B.S.)"	""	NA	NA	""	""	""	NA	NA	""	""	"Black &amp; Veatch"	1989	"2002"	"   Prin Electrical Engineer"	""	"Black &amp; Veatch"	1989.8	"2017.11"	"   Project Design Engineer"	""	"Lutz, Daily &amp; Brain, LLC"	2002.9	"2010.7"	"   Prin Electrical/Control Engineer"	""	NA
